familia	家庭（阴）	Mi familia es grande.	我的家庭很大。	[sound:v1.m4a]
padre	父亲（阳）	Mi padre trabaja en un hospital.	我父亲在医院工作。	[sound:v2.m4a]
madre	母亲（阴）	Mi madre es profesora.	我母亲是老师。	[sound:v3.m4a]
hermano	兄弟（阳）	Tengo un hermano mayor.	我有一个哥哥。	[sound:v4.m4a]
hermana	姐妹（阴）	Mi hermana menor tiene diez años.	我妹妹十岁。	[sound:v5.m4a]
hijo	儿子（阳）	Su hijo estudia en China.	他儿子在中国学习。	[sound:v6.m4a]
hija	女儿（阴）	Mi hija se llama Ana.	我女儿叫安娜。	[sound:v7.m4a]
abuelo	祖父（阳）	Mi abuelo tiene ochenta años.	我祖父八十岁。	[sound:v8.m4a]
abuela	祖母（阴）	Mi abuela cocina muy bien.	我祖母做饭做得很好。	[sound:v9.m4a]
esposo	丈夫（阳）	Su esposo es médico.	她丈夫是医生。	[sound:v10.m4a]
esposa	妻子（阴）	Mi esposa es china.	我妻子是中国人。	[sound:v11.m4a]
padres	父母（阳，复数）	Mis padres viven en Pekín.	我父母住在北京。	[sound:v12.m4a]
