hola	你好	¡Hola! ¿Cómo estás?	你好！你好吗？	[sound:v1.m4a]
buenos días	早上好	¡Buenos días, señor García!	早上好，加西亚先生！	[sound:v2.m4a]
buenas tardes	下午好	¡Buenas tardes!	下午好！	[sound:v3.m4a]
buenas noches	晚上好 / 晚安	Buenas noches, hasta mañana.	晚安，明天见。	[sound:v4.m4a]
gracias	谢谢	Muy bien, gracias.	非常好，谢谢。	[sound:v5.m4a]
adiós	再见	¡Adiós, amigos!	再见，朋友们！	[sound:v6.m4a]
hasta luego	回头见	¡Hasta luego!	回头见！	[sound:v7.m4a]
hasta mañana	明天见	¡Hasta mañana!	明天见！	[sound:v8.m4a]
bien	好，挺好	Bien, ¿y tú?	挺好的，你呢？	[sound:v9.m4a]
muy bien	非常好	Muy bien, gracias.	非常好，谢谢。	[sound:v10.m4a]
¿qué tal?	你好吗？怎么样？	¿Qué tal?	你好吗？	[sound:v11.m4a]
¿cómo estás?	你好吗？	¿Cómo estás? — Bien.	你好吗？——挺好的。	[sound:v12.m4a]
