estudiante	学生	Pepe es estudiante.	佩佩是学生。	[sound:v1.m4a]
profesor / profesora	教师	Soy profesora.	我是教师。	[sound:v2.m4a]
médico / médica	医生	El médico trabaja en el hospital.	医生在医院工作。	[sound:v3.m4a]
enfermero / enfermera	护士	La enfermera habla con el médico.	护士和医生说话。	[sound:v4.m4a]
cocinero / cocinera	厨师	Elena no es cocinera, es camarera.	埃莱娜不是厨师，是服务员。	[sound:v5.m4a]
camarero / camarera	服务员	Es camarera.	她是服务员。	[sound:v6.m4a]
secretario / secretaria	秘书	El secretario compra unas plumas.	秘书买几支钢笔。	[sound:v7.m4a]
periodista	记者	No es profesor, es periodista.	他不是教师，是记者。	[sound:v8.m4a]
taxista	出租车司机	Mi padre es taxista.	我爸爸是出租车司机。	[sound:v9.m4a]
funcionario / funcionaria	公务员	Es funcionaria.	她是公务员。	[sound:v10.m4a]
peluquero / peluquera	理发师	La peluquera trabaja en el centro.	理发师在市中心工作。	[sound:v11.m4a]
cantante	歌手	Es cantante.	他是歌手。	[sound:v12.m4a]
