casa	房子，家	La casa de Juan está en Santiago de Chile.	胡安的家在智利圣地亚哥。	[sound:v1.m4a]
sala	客厅	En la sala hay una mesa y dos sofás.	客厅里有一张桌子和两个沙发。	[sound:v2.m4a]
cocina	厨房	Estoy en la cocina.	我在厨房。	[sound:v3.m4a]
dormitorio	卧室	El dormitorio de Juan está un poco sucio.	胡安的卧室有点脏。	[sound:v4.m4a]
habitación	房间	En mi casa hay tres habitaciones.	我家有三个房间。	[sound:v5.m4a]
baño	卫生间	El baño está desordenado.	卫生间很乱。	[sound:v6.m4a]
mesa	桌子	En la sala hay una mesa.	客厅里有一张桌子。	[sound:v7.m4a]
silla	椅子	Ellos tienen once sillas.	他们有十一把椅子。	[sound:v8.m4a]
cama	床	La cama es grande.	床很大。	[sound:v9.m4a]
puerta	门	La puerta está abierta.	门开着。	[sound:v10.m4a]
ventana	窗户	La ventana es nueva.	窗户是新的。	[sound:v11.m4a]
jardín	花园	Estoy en el jardín.	我在花园里。	[sound:v12.m4a]
