cero	零	La temperatura es cero grados.	温度是零度。	[sound:v1.m4a]
uno	一	Uno más uno son dos.	一加一等于二。	[sound:v2.m4a]
dos	二	Tengo dos hermanos.	我有两个兄弟。	[sound:v3.m4a]
tres	三	Son las tres.	现在三点。	[sound:v4.m4a]
cuatro	四	Mi hermana tiene cuatro años.	我妹妹四岁。	[sound:v5.m4a]
cinco	五	Son las cinco.	现在五点。	[sound:v6.m4a]
seis	六	La sopa cuesta seis euros.	这碗汤六欧元。	[sound:v7.m4a]
siete	七	Hay siete días en una semana.	一周有七天。	[sound:v8.m4a]
ocho	八	Trabajo ocho horas al día.	我每天工作八小时。	[sound:v9.m4a]
nueve	九	El tren sale a las nueve.	火车九点出发。	[sound:v10.m4a]
diez	十	Tengo diez años.	我十岁。	[sound:v11.m4a]
once	十一	Son las once de la noche.	现在是晚上十一点。	[sound:v12.m4a]
